SampleID	Day	individual	Phenotype	Pheno_num	Final_phenotype	Trajectory	Tide	Description
01-5-11	6	1	Dead	5	Sick	SS	intertidal	1-5/11
02-5-20	15	2	Dead	5	Sick	SS	intertidal	2-5/20
04-5-20	15	4	Dead	5	Sick	SS	intertidal	4-5/20
09-5-20	15	9	Dead	5	Sick	HS	intertidal	9-5/20
19-5-20	15	19	Dead	5	Sick	HS	intertidal	19-5/20
21-5-20	15	21	Dead	5	Sick	HS	intertidal	21-5/20
23-5-20	15	23	Dead	5	Sick	SS	intertidal	23-5/20
38-6-24	15	38	Dead	5	Sick	HS	subtidal	38-6/24
03-5-05	0	3	Healthy	0	Sick	HS	intertidal	3-5/5
07-5-05	0	7	Healthy	0	Sick	HS	intertidal	7-5/5
08-5-05	0	8	Healthy	0	Sick	HS	intertidal	8-5/5
08-5-08	3	8	Healthy	0	Sick	HS	intertidal	8-5/8
09-5-05	0	9	Healthy	0	Sick	HS	intertidal	9-5/5
09-5-08	3	9	Healthy	0	Sick	HS	intertidal	9-5/8
09-5-11	6	9	Healthy	0	Sick	HS	intertidal	9-5/11
10-5-05	0	10	Healthy	0	Healthy	HH	intertidal	10-5/5
10-5-08	3	10	Healthy	0	Healthy	HH	intertidal	10-5/8
10-5-11	6	10	Healthy	0	Healthy	HH	intertidal	10-5/11
10-5-14	9	10	Healthy	0	Healthy	HH	intertidal	10-5/14
10-5-17	12	10	Healthy	0	Healthy	HH	intertidal	10-5/17
10-5-20	15	10	Healthy	0	Healthy	HH	intertidal	10-5/20
14-5-05	0	14	Healthy	0	Sick	HS	intertidal	14-5/5
15-5-05	0	15	Healthy	0	Sick	HS	intertidal	15-5/5
15-5-08	3	15	Healthy	0	Sick	HS	intertidal	15-5/8
15-5-11	6	15	Healthy	0	Sick	HS	intertidal	15-5/11
15-5-14	9	15	Healthy	0	Sick	HS	intertidal	15-5/14
16-5-05	0	16	Healthy	0	Sick	HS	intertidal	16-5/5
18-5-05	0	18	Healthy	0	Sick	HS	intertidal	18-5/5
19-5-05	0	19	Healthy	0	Sick	HS	intertidal	19-5/5
19-5-08	3	19	Healthy	0	Sick	HS	intertidal	19-5/8
19-5-14	9	19	Healthy	0	Sick	HS	intertidal	19-5/14
19-5-17	12	19	Healthy	0	Sick	HS	intertidal	19-5/17
20-5-05	0	20	Healthy	0	Sick	HS	intertidal	20-5/5
20-5-08	3	20	Healthy	0	Sick	HS	intertidal	20-5/8
20-5-11	6	20	Healthy	0	Sick	HS	intertidal	20-5/11
20-5-14	9	20	Healthy	0	Sick	HS	intertidal	20-5/14
20-5-17	12	20	Healthy	0	Sick	HS	intertidal	20-5/17
21-5-05	0	21	Healthy	0	Sick	HS	intertidal	21-5/5
22-5-05	0	22	Healthy	0	Sick	HS	intertidal	22-5/5
24-5-05	0	24	Healthy	0	Healthy	HH	intertidal	24-5/5
24-5-08	3	24	Healthy	0	Healthy	HH	intertidal	24-5/8
24-5-11	6	24	Healthy	0	Healthy	HH	intertidal	24-5/11
24-5-14	9	24	Healthy	0	Healthy	HH	intertidal	24-5/14
24-5-17	12	24	Healthy	0	Healthy	HH	intertidal	24-5/17
24-5-20	15	24	Healthy	0	Healthy	HH	intertidal	24-5/20
26-5-05	0	26	Healthy	0	Sick	HS	intertidal	26-5/5
27-5-05	0	27	Healthy	0	Healthy	HH	intertidal	27-5/5
27-5-08	3	27	Healthy	0	Healthy	HH	intertidal	27-5/8
27-5-11	6	27	Healthy	0	Healthy	HH	intertidal	27-5/11
27-5-14	9	27	Healthy	0	Healthy	HH	intertidal	27-5/14
27-5-17	12	27	Healthy	0	Healthy	HH	intertidal	27-5/17
27-5-20	15	27	Healthy	0	Healthy	HH	intertidal	27-5/20
28-5-05	0	28	Healthy	0	Sick	HS	intertidal	28-5/5
29-5-05	0	29	Healthy	0	Sick	HS	intertidal	29-5/5
31-6-09	0	31	Healthy	0	Healthy	HH	subtidal	31-6/9
31-6-12	3	31	Healthy	0	Healthy	HH	subtidal	31-6/12
31-6-15	6	31	Healthy	0	Healthy	HH	subtidal	31-6/15
31-6-18	9	31	Healthy	0	Healthy	HH	subtidal	31-6/18
31-6-21	12	31	Healthy	0	Healthy	HH	subtidal	31-6/21
31-6-24	15	31	Healthy	0	Healthy	HH	subtidal	31-6/24
32-6-09	0	32	Healthy	0	Healthy	HH	subtidal	32-6/9
32-6-12	3	32	Healthy	0	Healthy	HH	subtidal	32-6/12
