	indiv	day	health	score	location
X03_5.08_S_2	03	day03	S	2	int
X03_5.11_S_4	03	day06	S	4	int
X07_5.08_S_1	07	day03	S	1	int
X08_5.08_H_0	08	day03	H	0	int
X08_5.11_S_1	08	day06	S	1	int
X08_5.14_S_1	08	day09	S	1	int
X08_5.17_S_2	08	day12	S	2	int
X08_5.20_S_3	08	day15	S	3	int
X09_5.08_H_0	09	day03	H	0	int
X09_5.17_S_2	09	day12	S	2	int
X09_5.20_S_5	09	day15	S	5	int
X10_5.08_H_0	10	day03	H	0	int
X10_5.11_H_0	10	day06	H	0	int
X10_5.14_H_0	10	day09	H	0	int
X10_5.17_H_0	10	day12	H	0	int
X10_5.20_S_2	10	day15	S	2	int
X14_5.08_S_2	14	day03	S	2	int
X14_5.11_S_2	14	day06	S	2	int
X15_5.08_H_0	15	day03	H	0	int
X15_5.11_H_0	15	day06	H	0	int
X15_5.14_H_0	15	day09	H	0	int
X15_5.20_S_3	15	day15	S	3	int
X19_5.11_H_0	19	day06	H	0	int
X19_5.14_H_0	19	day09	H	0	int
X19_5.17_H_0	19	day12	H	0	int
X19_5.20_S_5	19	day15	S	5	int
X20_5.08_H_0	20	day03	H	0	int
X20_5.11_H_0	20	day06	H	0	int
X20_5.14_H_0	20	day09	H	0	int
X20_5.17_H_0	20	day12	H	0	int
X20_5.20_S_2	20	day15	S	2	int
X26_5.08_S_2	26	day03	S	2	int
X26_5.11_S_3	26	day06	S	3	int
X27_5.08_H_0	27	day03	H	0	int
X27_5.11_H_0	27	day06	H	0	int
X27_5.14_H_0	27	day09	H	0	int
X28_5.08_S_1	28	day03	S	1	int
X29_5.08_S_2	29	day03	S	2	int
X29_5.14_S_2	29	day09	S	2	int
X31_6.12_H_0	31	day03	H	0	sub
X31_6.15_H_0	31	day06	H	0	sub
X31_6.18_H_0	31	day09	H	0	sub
X31_6.21_H_0	31	day12	H	0	sub
X31_6.24_H_0	31	day15	H	0	sub
X32_6.12_H_0	32	day03	H	0	sub
X32_6.15_H_0	32	day06	H	0	sub
X32_6.18_H_0	32	day09	H	0	sub
X32_6.21_H_0	32	day12	H	0	sub
X33_6.12_H_0	33	day03	H	0	sub
X33_6.18_H_0	33	day09	H	0	sub
X33_6.21_H_0	33	day12	H	0	sub
X33_6.24_H_0	33	day15	H	0	sub
X34_6.12_H_0	34	day03	H	0	sub
X34_6.15_H_0	34	day06	H	0	sub
X34_6.18_H_0	34	day09	H	0	sub
X34_6.21_H_0	34	day12	H	0	sub
X35_6.12_H_0	35	day03	H	0	sub
X35_6.15_H_0	35	day06	H	0	sub
X35_6.18_H_0	35	day09	H	0	sub
X35_6.21_H_0	35	day12	H	0	sub
X36_6.12_S_1	36	day03	S	1	sub
X36_6.15_S_2	36	day06	S	2	sub
X36_6.18_S_3	36	day09	S	3	sub
X37_6.12_H_0	37	day03	H	0	sub
X38_6.12_H_0	38	day03	H	0	sub
