Filename	Total#Reads	NumContigsMatched	NumUnaligned	NumAligned	NumMultiAligned	NumSingleAligned	NumQualSingles	Wrongformat	PropQualAligned
03_5-08_S_2_bwaaln.sam	46193454	11508	38182404	8011050	4357296	3653754	3602022	0	0.078
03_5-11_S_4_bwaaln.sam	28620148	6396	23547690	5072458	2737916	2334542	2241892	0	0.078
07_5-08_S_1_bwaaln.sam	61450092	5696	48321887	13128205	7826101	5302104	5206671	0	0.085
07_5-11_S_4_bwaaln.sam	6871540	2992	4912494	1959046	1313110	645936	623350	0	0.091
08_5-08_H_0_bwaaln.sam	27798726	7079	21976648	5822078	3565712	2256366	2208323	0	0.079
08_5-11_S_1_bwaaln.sam	54853470	4847	26531943	28321527	20344786	7976741	7654324	0	0.140
08_5-14_S_1_bwaaln.sam	58724958	5141	37498274	21226684	14388556	6838128	6615790	0	0.113
08_5-17_S_2_bwaaln.sam	27828070	9133	22187634	5640436	3056505	2583931	2558046	0	0.092
08_5-20_S_3_bwaaln.sam	23947012	7925	20655990	3291022	1634382	1656640	1633871	0	0.068
09_5-08_H_0_bwaaln.sam	25681704	6032	16224194	9457510	6534228	2923282	2796825	0	0.109
09_5-14_S_2_bwaaln.sam	14543566	6764	9065618	5477948	3783729	1694219	1622917	0	0.112
09_5-17_S_2_bwaaln.sam	31871764	6350	26970075	4901689	2618499	2283190	2238396	0	0.070
09_5-20_S_5_bwaaln.sam	37560360	7680	15197841	22362519	15826410	6536109	6262377	0	0.167
10_5-08_H_0_bwaaln.sam	24090108	4166	13167563	10922545	7776721	3145824	3019915	0	0.125
10_5-11_H_0_bwaaln.sam	43159510	4101	23047931	20111579	14294213	5817366	5556142	0	0.129
10_5-14_H_0_bwaaln.sam	58379012	4876	16474453	41904559	32020215	9884344	9182425	0	0.157
10_5-17_H_0_bwaaln.sam	78355434	7112	66619028	11736406	6272875	5463531	5370327	0	0.069
10_5-20_S_2_bwaaln.sam	31168602	6017	21979219	9189383	6026933	3162450	3060724	0	0.098
14_5-08_S_2_bwaaln.sam	41767870	8786	35878860	5889010	3229305	2659705	2595614	0	0.062
14_5-11_S_2_bwaaln.sam	40434084	5926	34501149	5932935	1802589	4130346	4058744	0	0.100
15_5-08_H_0_bwaaln.sam	27831174	4768	21744368	6086806	3886171	2200635	2149064	0	0.077
15_5-11_H_0_bwaaln.sam	32317388	6761	22700435	9616953	6371522	3245431	3128727	0	0.097
15_5-14_H_0_bwaaln.sam	30343462	10317	23226029	7117433	4431731	2685702	2634878	0	0.087
15_5-17_S_3_bwaaln.sam	3702050	3523	1973127	1728923	1196561	532362	510778	0	0.138
15_5-20_S_3_bwaaln.sam	23797998	5851	19529856	4268142	2543129	1725013	1696198	0	0.071
19_5-11_H_0_bwaaln.sam	30135326	6277	25331213	4804113	2730441	2073672	2047779	0	0.068
19_5-14_H_0_bwaaln.sam	49315782	9189	42403534	6912248	3320404	3591844	3535368	0	0.072
19_5-17_H_0_bwaaln.sam	29166382	4916	17330053	11836329	8277269	3559060	3403290	0	0.117
19_5-20_S_5_bwaaln.sam	42621082	10062	29659958	12961124	7989784	4971340	4850665	0	0.114
20_5-08_H_0_bwaaln.sam	20045538	3887	13055681	6989857	4859011	2130846	2052977	0	0.102
20_5-11_H_0_bwaaln.sam	40508034	10808	30500544	10007490	6321635	3685855	3589216	0	0.089
20_5-14_H_0_bwaaln.sam	24593056	2824	19089912	5503144	3772737	1730407	1671489	0	0.068
20_5-17_H_0_bwaaln.sam	22154558	4216	17021702	5132856	3290328	1842528	1789041	0	0.081
20_5-20_S_2_bwaaln.sam	24219762	4771	18881686	5338076	3088005	2250071	2193946	0	0.091
22_5-08_S_1_bwaaln.sam	36826432	3953	23087527	13738905	9563736	4175169	4023549	0	0.109
22_5-11_S_1_bwaaln.sam	1693582	1595	1515569	178013	105299	72714	71044	0	0.042
22_5-14_S_2_bwaaln.sam	14090358	5234	11308556	2781802	1695380	1086422	1069396	0	0.076
23_5-17_S_2_bwaaln.sam	26343418	8002	19754350	6589068	4144583	2444485	2376918	0	0.090
23_5-20_S_5_bwaaln.sam	20588292	8590	17035306	3552986	1892518	1660468	1641263	0	0.080
24_5-08_H_0_bwaaln.sam	8448824	2481	4321456	4127368	2997466	1129902	1079111	0	0.128
24_5-11_H_0_bwaaln.sam	27544920	4160	23859670	3685250	2102044	1583206	1556312	0	0.057
24_5-14_H_0_bwaaln.sam	41655202	5727	30316986	11338216	7263371	4074845	3920951	0	0.094
24_5-17_H_0_bwaaln.sam	21195352	3683	16825330	4370022	2808161	1561861	1518353	0	0.072
24_5-20_H_0_bwaaln.sam	1578646	931	1052637	526009	389428	136581	129884	0	0.082
26_5-08_S_2_bwaaln.sam	51689314	5996	25188272	26501042	19143058	7357984	7017176	0	0.136
26_5-11_S_3_bwaaln.sam	21194542	5571	16920799	4273743	2655165	1618578	1583562	0	0.075
27_5-08_H_0_bwaaln.sam	24695448	7011	18954811	5740637	3592238	2148399	2075539	0	0.084
27_5-11_H_0_bwaaln.sam	46513328	12244	27528106	18985222	13063376	5921846	5686736	0	0.122
27_5-14_H_0_bwaaln.sam	25664478	6059	14088383	11576095	8131422	3444673	3323113	0	0.129
27_5-17_H_0_bwaaln.sam	951392	910	924182	27210	17520	9690	9384	0	0.010
27_5-20_H_0_bwaaln.sam	34766710	4861	19576599	15190111	10727423	4462688	4280356	0	0.123
28_5-08_S_1_bwaaln.sam	20301196	5625	15964365	4336831	2615239	1721592	1677057	0	0.083
28_5-11_S_1_bwaaln.sam	15120880	4487	12115162	3005718	1712819	1292899	1279311	0	0.085
28_5-14_S_2_bwaaln.sam	35391182	8381	30992793	4398389	2098122	2300267	2271918	0	0.064
28_5-17_S_2_bwaaln.sam	3070450	5367	2215913	854537	516961	337576	331807	0	0.108
29_5-08_S_2_bwaaln.sam	30216230	6209	23056477	7159753	4758361	2401392	2311152	0	0.076
29_5-11_S_2_bwaaln.sam	5064904	3895	3722907	1341997	836155	505842	494601	0	0.098
29_5-14_S_2_bwaaln.sam	27150614	8292	19161295	7989319	5151257	2838062	2755272	0	0.101
31_6-12_H_0_bwaaln.sam	17170708	6587	14763584	2407124	1248875	1158249	1137287	0	0.066
31_6-15_H_0_bwaaln.sam	22374276	8065	18720634	3653642	1976058	1677584	1638182	0	0.073
31_6-18_H_0_bwaaln.sam	33598864	6792	27129930	6468934	3526842	2942092	2897438	0	0.086
31_6-21_H_0_bwaaln.sam	33071218	4592	23225979	9845239	6707342	3137897	3010347	0	0.091
31_6-24_H_0_bwaaln.sam	44382710	7698	36694708	7688002	4196277	3491725	3402306	0	0.077
32_6-12_H_0_bwaaln.sam	30590870	6275	24143642	6447228	3914896	2532332	2490163	0	0.081
32_6-15_H_0_bwaaln.sam	39227810	10582	33479302	5748508	3155658	2592850	2554885	0	0.065
32_6-18_H_0_bwaaln.sam	30479080	7531	19342819	11136261	7576501	3559760	3435844	0	0.113
32_6-21_H_0_bwaaln.sam	17781638	4602	11188984	6592654	4571833	2020821	1955906	0	0.110
33_6-12_H_0_bwaaln.sam	27035346	8092	17650317	9385029	6166063	3218966	3099389	0	0.115
33_6-15_H_0_bwaaln.sam	11142154	7174	8517539	2624615	1591472	1033143	999215	0	0.090
33_6-18_H_0_bwaaln.sam	23863310	9421	19990347	3872963	2115657	1757306	1734997	0	0.073
33_6-21_H_0_bwaaln.sam	27099710	9756	22624679	4475031	2425332	2049699	2002332	0	0.074
33_6-24_H_0_bwaaln.sam	23852782	5827	18693340	5159442	3118930	2040512	1991438	0	0.083
34_6-12_H_0_bwaaln.sam	43044972	7699	30717691	12327281	8077629	4249652	4114693	0	0.096
34_6-15_H_0_bwaaln.sam	29871628	8049	25918297	3953331	2156839	1796492	1772712	0	0.059
34_6-18_H_0_bwaaln.sam	50299940	3339	21039505	29260435	21837614	7422821	7029215	0	0.140
34_6-21_H_0_bwaaln.sam	31934104	5352	24825717	7108387	4546040	2562347	2477842	0	0.078
34_6-24_H_0_bwaaln.sam	17339210	5962	14879587	2459623	1275918	1183705	1166690	0	0.067
35_6-12_H_0_bwaaln.sam	31204542	9299	27624187	3580355	1687029	1893326	1843271	0	0.059
35_6-15_H_0_bwaaln.sam	42557758	6450	33838389	8719369	5179139	3540230	3452461	0	0.081
35_6-18_H_0_bwaaln.sam	30216290	11850	22047281	8169009	5081015	3087994	2973405	0	0.098
35_6-21_H_0_bwaaln.sam	30576118	8939	27228525	3347593	1508360	1839233	1790267	0	0.059
36_6-12_S_1_bwaaln.sam	51581322	9327	41293847	10287475	6336722	3950753	3739874	0	0.073
36_6-15_S_2_bwaaln.sam	69768456	4589	41460273	28308183	19662454	8645729	8279109	0	0.119
36_6-18_S_3_bwaaln.sam	34957288	10172	24497354	10459934	6993272	3466662	3359808	0	0.096
37_6-12_H_0_bwaaln.sam	27171830	7722	22355189	4816641	2762292	2054349	2032188	0	0.075
37_6-15_S_1_bwaaln.sam	29116616	4732	21943630	7172986	4492485	2680501	2621288	0	0.090
37_6-18_H_0_bwaaln.sam	23583292	7972	19888973	3694319	2041415	1652904	1633836	0	0.069
37_6-21_S_2_bwaaln.sam	13366766	5076	11899149	1467617	736078	731539	724215	0	0.054
