name	term	lev	seq	value
"DNA catabolic process, exonucleolytic"	GO:0000738;GO:0006308	4	TRINITY_DN2194_c0_g1_TRINITY_DN2194_c0_g1_i1_g.233_m.233	0.463217988
"DNA catabolic process, exonucleolytic"	GO:0000738;GO:0006308	4	TRINITY_DN34285_c0_g1_TRINITY_DN34285_c0_g1_i1_g.5189_m.5189	0.506963475
"DNA catabolic process, exonucleolytic"	GO:0000738;GO:0006308	4	TRINITY_DN35115_c0_g1_TRINITY_DN35115_c0_g1_i1_g.5515_m.5515	0.819739402
"DNA catabolic process, exonucleolytic"	GO:0000738;GO:0006308	4	TRINITY_DN43880_c1_g1_TRINITY_DN43880_c1_g1_i1_g.15688_m.15688	0.701888225
"DNA catabolic process, exonucleolytic"	GO:0000738;GO:0006308	4	TRINITY_DN46874_c4_g1_TRINITY_DN46874_c4_g1_i1_g.23763_m.23763	1.28002547
"response to amphetamine"	GO:0001975;GO:0014075;GO:0010243;GO:1901698	5	TRINITY_DN37719_c0_g1_TRINITY_DN37719_c0_g1_i1_g.7110_m.7110	0.037752458
"response to amphetamine"	GO:0001975;GO:0014075;GO:0010243;GO:1901698	5	TRINITY_DN45175_c5_g3_TRINITY_DN45175_c5_g3_i1_g.18770_m.18770	0.370239836
"response to amphetamine"	GO:0001975;GO:0014075;GO:0010243;GO:1901698	5	TRINITY_DN45883_c14_g2_TRINITY_DN45883_c14_g2_i1_g.20597_m.20597	0.521046626
"response to amphetamine"	GO:0001975;GO:0014075;GO:0010243;GO:1901698	5	TRINITY_DN47215_c1_g3_TRINITY_DN47215_c1_g3_i2_g.25053_m.25053	0.401823615
"response to amphetamine"	GO:0001975;GO:0014075;GO:0010243;GO:1901698	5	TRINITY_DN47299_c0_g1_TRINITY_DN47299_c0_g1_i1_g.25420_m.25420	0.118734813
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN12834_c0_g1_TRINITY_DN12834_c0_g1_i1_g.1116_m.1116	0.429256257
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN16475_c0_g1_TRINITY_DN16475_c0_g1_i1_g.1411_m.1411	0.442303239
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN18264_c0_g1_TRINITY_DN18264_c0_g1_i1_g.1594_m.1594	1.960690625
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN18447_c0_g1_TRINITY_DN18447_c0_g1_i1_g.1624_m.1624	0.171757378
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN31740_c0_g2_TRINITY_DN31740_c0_g2_i1_g.4187_m.4187	0.284960545
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN32255_c0_g1_TRINITY_DN32255_c0_g1_i1_g.4361_m.4361	0.178381674
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN32576_c0_g2_TRINITY_DN32576_c0_g2_i1_g.4430_m.4430	0.619134399
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN41094_c3_g1_TRINITY_DN41094_c3_g1_i1_g.10694_m.10694	0.252534435
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN42156_c5_g5_TRINITY_DN42156_c5_g5_i1_g.12359_m.12359	0.021175042
"embryonic morphogenesis"	GO:0048598	2	TRINITY_DN43790_c4_g1_TRINITY_DN43790_c4_g1_i2_g.15504_m.15504	0.271213863
"response to ischemia"	GO:0002931	2	TRINITY_DN34308_c0_g1_TRINITY_DN34308_c0_g1_i1_g.5198_m.5198	0.058976261
"response to ischemia"	GO:0002931	2	TRINITY_DN40572_c0_g1_TRINITY_DN40572_c0_g1_i1_g.10003_m.10003	0.398731338
"response to ischemia"	GO:0002931	2	TRINITY_DN42277_c1_g1_TRINITY_DN42277_c1_g1_i2_g.12538_m.12538	0.087381474
"response to ischemia"	GO:0002931	2	TRINITY_DN43271_c2_g3_TRINITY_DN43271_c2_g3_i2_g.14493_m.14493	0.436589768
"response to ischemia"	GO:0002931	2	TRINITY_DN43271_c2_g5_TRINITY_DN43271_c2_g5_i1_g.14491_m.14491	0.143920375
"response to ischemia"	GO:0002931	2	TRINITY_DN45030_c1_g2_TRINITY_DN45030_c1_g2_i2_g.18358_m.18358	2.189821331
"response to ischemia"	GO:0002931	2	TRINITY_DN45418_c2_g2_TRINITY_DN45418_c2_g2_i1_g.19346_m.19346	0.478778284
"response to ischemia"	GO:0002931	2	TRINITY_DN46110_c1_g1_TRINITY_DN46110_c1_g1_i1_g.21280_m.21280	0.554754219
"response to ischemia"	GO:0002931	2	TRINITY_DN46192_c3_g2_TRINITY_DN46192_c3_g2_i2_g.21562_m.21562	1.420813788
"response to ischemia"	GO:0002931	2	TRINITY_DN51774_c0_g1_TRINITY_DN51774_c0_g1_i1_g.26307_m.26307	0.12637281
"nucleobase-containing small molecule metabolic process"	GO:0055086	3	TRINITY_DN19310_c0_g1_TRINITY_DN19310_c0_g1_i1_g.1763_m.1763	0.250953145
"nucleobase-containing small molecule metabolic process"	GO:0055086	3	TRINITY_DN20925_c0_g1_TRINITY_DN20925_c0_g1_i1_g.1960_m.1960	0.645977307
"nucleobase-containing small molecule metabolic process"	GO:0055086	3	TRINITY_DN25779_c0_g1_TRINITY_DN25779_c0_g1_i1_g.2739_m.2739	0
