"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
307 0.144379284896684 2 9 "GO:0000002" "mitochondrial genome maintenance" 0.66110321782505
-294 0.21857307903959 3 7 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.736461006619302
228 0.108026920715229 3 20 "GO:0000027" "ribosomal large subunit assembly" 0.66110321782505
-108 0.674520633261467 6 6 "GO:0000028" "ribosomal small subunit assembly" 0.908135490945563
676 0.00459785249647007 6 7 "GO:0000038" "very long-chain fatty acid metabolic process" 0.66110321782505
25 0.890601016163594 4 12 "GO:0000042;GO:0000301;GO:0006605;GO:0072600;GO:0006891;GO:0072594;GO:0048193" "establishment of protein localization to organelle" 0.975570017705704
221 0.11035791936761 4 21 "GO:0000045;GO:0007033;GO:0070925" "organelle assembly" 0.66110321782505
1 0.996637285670496 3 8 "GO:0000050;GO:0019627" "urea cycle" 0.996637285670496
151 0.355578233431872 4 15 "GO:0000054;GO:0033753;GO:0071428;GO:0071426;GO:0051168;GO:0006913;GO:0051169" "nuclear transport" 0.807153017974172
136 0.494851437485252 2 10 "GO:0000055" "ribosomal large subunit export from nucleus" 0.892962064396072
-257 0.22160570881111 5 9 "GO:0000070;GO:0000819;GO:0007059" "chromosome segregation" 0.736461006619302
411 0.145647378252347 2 5 "GO:0000076" "DNA replication checkpoint" 0.66110321782505
-94 0.578672017702965 5 14 "GO:0000077" "DNA damage checkpoint" 0.908135490945563
52 0.786615066051516 2 11 "GO:0000079;GO:0051726" "regulation of cell cycle" 0.941711730763478
56 0.610472573238818 3 33 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.908135490945563
-86 0.524625067620846 2 22 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.908135490945563
43 0.856775268846972 3 7 "GO:0000096" "sulfur amino acid metabolic process" 0.967825661137228
193 0.494178764374665 4 5 "GO:0000103" "sulfate assimilation" 0.892962064396072
-65 0.125946330582752 3 245 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:0010468;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0019219;GO:0051171;GO:0010629;GO:1902679;GO:2000113;GO:0010605;GO:0010558;GO:0031327;GO:0051253;GO:0009892;GO:0009890;GO:0031324;GO:0045934;GO:0051172;GO:0048519;GO:0048523" "negative regulation of biological process" 0.66110321782505
15 0.942757337938732 5 9 "GO:0000132;GO:0040001;GO:0051294;GO:0051293" "establishment of spindle localization" 0.992212168782812
-171 0.50805450821254 2 6 "GO:0000154" "rRNA modification" 0.908135490945563
-231 0.369557516768924 3 6 "GO:0000160" "phosphorelay signal transduction system" 0.807153017974172
-8 0.952148491181627 5 21 "GO:0000162;GO:0006568;GO:0009073;GO:0046219;GO:0006586;GO:0009072;GO:0006576;GO:0042430;GO:0044106;GO:0009308;GO:0042401;GO:0042435;GO:0009309" "cellular biogenic amine metabolic process" 0.992212168782812
-213 0.0386791871985184 3 38 "GO:0000165;GO:0023014;GO:0035556;GO:0016310" "signal transduction by phosphorylation" 0.66110321782505
166 0.173558375923428 3 27 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.663679745339901
-297 0.137103797203216 2 10 "GO:0000186" "activation of MAPKK activity" 0.66110321782505
-46 0.549604435616683 5 70 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.908135490945563
-41 0.606638949064292 2 63 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.908135490945563
98 0.641546104771516 7 9 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.908135490945563
72 0.693727069698882 6 12 "GO:0000245" "spliceosomal complex assembly" 0.908135490945563
-310 0.193394861051589 2 7 "GO:0000256;GO:0000255;GO:0043605" "allantoin metabolic process" 0.681277351431734
-70 0.691710681607068 2 13 "GO:0000266;GO:0048285" "organelle fission" 0.908135490945563
23 0.916978996857698 4 8 "GO:0000271" "polysaccharide biosynthetic process" 0.992212168782812
-267 0.142860963911782 3 12 "GO:0000272" "polysaccharide catabolic process" 0.66110321782505
-58 0.794943038026292 4 8 "GO:0000278" "mitotic cell cycle" 0.941711730763478
4 0.976185468087821 3 18 "GO:0000281" "mitotic cytokinesis" 0.994780860150011
93 0.676091611616771 2 8 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.908135490945563
-195 0.158400451588223 4 21 "GO:0000302;GO:0006979;GO:1901700" "response to oxidative stress" 0.663569459356069
172 0.543403730423943 4 5 "GO:0000381;GO:0048024;GO:0043484;GO:0050684" "regulation of RNA splicing" 0.908135490945563
99 0.485187792742619 3 20 "GO:0000387" "spliceosomal snRNP assembly" 0.892962064396072
167 0.0527292125632072 3 55 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.66110321782505
129 0.648629679896002 6 5 "GO:0000413;GO:0018208" "protein peptidyl-prolyl isomerization" 0.908135490945563
127 0.65323411322937 4 5 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.908135490945563
208 0.187817810793437 4 16 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.677766894182134
80 0.634836953824971 3 14 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.908135490945563
137 0.452595794481521 3 12 "GO:0000469;GO:0090501" "cleavage involved in rRNA processing" 0.881864109259622
116 0.602619393358581 6 8 "GO:0000479;GO:0000478;GO:0090502" "RNA phosphodiester bond hydrolysis, endonucleolytic" 0.908135490945563
186 0.307845829638532 6 12 "GO:0000722;GO:0006312" "mitotic recombination" 0.807153017974172
-131 0.265998237647692 5 29 "GO:0000723;GO:0032200;GO:0060249" "anatomical structure homeostasis" 0.76435399482505
