trinID,neglogpval
TRINITY_DN1000_c0_g1_TRINITY_DN1000_c0_g1_i1_g.101_m.101,0.193257396
TRINITY_DN10003_c0_g1_TRINITY_DN10003_c0_g1_i1_g.850_m.850,0.760475236
TRINITY_DN10009_c0_g1_TRINITY_DN10009_c0_g1_i1_g.851_m.851,0.207725371
TRINITY_DN10011_c0_g1_TRINITY_DN10011_c0_g1_i1_g.852_m.852,0.212467573
TRINITY_DN10021_c0_g1_TRINITY_DN10021_c0_g1_i1_g.853_m.853,1.155852866
TRINITY_DN10033_c0_g1_TRINITY_DN10033_c0_g1_i1_g.855_m.855,0.091919782
TRINITY_DN10034_c0_g1_TRINITY_DN10034_c0_g1_i1_g.857_m.857,0.11157767
TRINITY_DN10045_c0_g1_TRINITY_DN10045_c0_g1_i1_g.858_m.858,0.288616018
TRINITY_DN10051_c0_g1_TRINITY_DN10051_c0_g1_i1_g.860_m.860,1.058890247
TRINITY_DN10053_c0_g1_TRINITY_DN10053_c0_g1_i1_g.862_m.862,0.295382623
TRINITY_DN10073_c0_g1_TRINITY_DN10073_c0_g1_i1_g.863_m.863,0.49246819
TRINITY_DN10074_c0_g1_TRINITY_DN10074_c0_g1_i1_g.865_m.865,0.044549898
TRINITY_DN10076_c0_g2_TRINITY_DN10076_c0_g2_i1_g.866_m.866,0.076812071
TRINITY_DN10078_c0_g1_TRINITY_DN10078_c0_g1_i1_g.867_m.867,0.156969927
TRINITY_DN10080_c0_g1_TRINITY_DN10080_c0_g1_i1_g.868_m.868,0.208262578
TRINITY_DN10081_c0_g1_TRINITY_DN10081_c0_g1_i1_g.869_m.869,0.275839481
TRINITY_DN10112_c0_g1_TRINITY_DN10112_c0_g1_i1_g.875_m.875,0.390532045
TRINITY_DN10116_c0_g1_TRINITY_DN10116_c0_g1_i1_g.876_m.876,0.047179025
TRINITY_DN10120_c0_g1_TRINITY_DN10120_c0_g1_i1_g.878_m.878,1.200927096
TRINITY_DN10120_c0_g2_TRINITY_DN10120_c0_g2_i1_g.879_m.879,1.124480941
TRINITY_DN10127_c0_g1_TRINITY_DN10127_c0_g1_i1_g.881_m.881,1.22901544
TRINITY_DN10136_c0_g1_TRINITY_DN10136_c0_g1_i1_g.882_m.882,0.320373835
TRINITY_DN10137_c0_g1_TRINITY_DN10137_c0_g1_i1_g.883_m.883,0.026220973
TRINITY_DN10140_c0_g1_TRINITY_DN10140_c0_g1_i1_g.884_m.884,1.075926827
TRINITY_DN10145_c0_g1_TRINITY_DN10145_c0_g1_i1_g.885_m.885,1.02219697
TRINITY_DN10148_c0_g1_TRINITY_DN10148_c0_g1_i1_g.886_m.886,0.273029018
TRINITY_DN10154_c0_g1_TRINITY_DN10154_c0_g1_i1_g.887_m.887,0.151925583
TRINITY_DN10159_c0_g1_TRINITY_DN10159_c0_g1_i1_g.888_m.888,0.069087733
TRINITY_DN10168_c0_g1_TRINITY_DN10168_c0_g1_i1_g.890_m.890,1.823981832
TRINITY_DN10178_c0_g1_TRINITY_DN10178_c0_g1_i1_g.891_m.891,0.505147416
TRINITY_DN10183_c0_g1_TRINITY_DN10183_c0_g1_i1_g.892_m.892,0.307213058
TRINITY_DN10186_c0_g1_TRINITY_DN10186_c0_g1_i1_g.894_m.894,0.182227386
TRINITY_DN1019_c0_g1_TRINITY_DN1019_c0_g1_i1_g.102_m.102,0.318294557
TRINITY_DN10190_c0_g1_TRINITY_DN10190_c0_g1_i1_g.895_m.895,0.552994709
TRINITY_DN10195_c0_g1_TRINITY_DN10195_c0_g1_i1_g.896_m.896,0.048280716
TRINITY_DN102_c0_g1_TRINITY_DN102_c0_g1_i1_g.19_m.19,0.552897526
TRINITY_DN10209_c0_g1_TRINITY_DN10209_c0_g1_i1_g.897_m.897,1.502837612
TRINITY_DN10211_c0_g1_TRINITY_DN10211_c0_g1_i1_g.898_m.898,0.328070822
TRINITY_DN10222_c0_g1_TRINITY_DN10222_c0_g1_i1_g.899_m.899,0.056846312
TRINITY_DN10226_c0_g1_TRINITY_DN10226_c0_g1_i1_g.900_m.900,0.700988717
TRINITY_DN10236_c0_g1_TRINITY_DN10236_c0_g1_i1_g.902_m.902,0.333675186
TRINITY_DN10238_c0_g1_TRINITY_DN10238_c0_g1_i1_g.904_m.904,0.35441254
TRINITY_DN10239_c0_g1_TRINITY_DN10239_c0_g1_i1_g.903_m.903,0.062353431
TRINITY_DN10240_c0_g1_TRINITY_DN10240_c0_g1_i1_g.905_m.905,1.241538715
TRINITY_DN10241_c0_g1_TRINITY_DN10241_c0_g1_i1_g.906_m.906,0.723037419
TRINITY_DN10249_c0_g1_TRINITY_DN10249_c0_g1_i1_g.907_m.907,0.402421978
TRINITY_DN10261_c0_g1_TRINITY_DN10261_c0_g1_i1_g.909_m.909,3.053417045
TRINITY_DN10294_c0_g1_TRINITY_DN10294_c0_g1_i1_g.911_m.911,0.00670871
TRINITY_DN1030_c0_g1_TRINITY_DN1030_c0_g1_i1_g.103_m.103,1.18813798
TRINITY_DN10300_c0_g1_TRINITY_DN10300_c0_g1_i1_g.912_m.912,0.068673815
TRINITY_DN10314_c0_g1_TRINITY_DN10314_c0_g1_i1_g.914_m.914,0.314037484
TRINITY_DN10317_c0_g1_TRINITY_DN10317_c0_g1_i1_g.915_m.915,0.025450357
