Species,Common name,Family,Order,Class,Phylum,Number_of_Individuals,Contigs_number,Average_length_of_contigs,SNP_number,piS,piN,piNpiS,Fit,Invasive_status,Maximal_Geoographic_Distance,Mean_Geographic_Distance,Mean_Distance_From_Equator
Caenorhabditis_sp.10,soil roundworm,Rhabditidae,Rhabditida,Chromadorea,Nematoda,2,1821,89,11329,0.049318,0.00252804,0.0512601,-0.15632,0,35133.4914586972,17566.7457293486,9.5702026
Caenorhabditis_brenneri,soil roundworm,Rhabditidae,Rhabditida,Chromadorea,Nematoda,10,972,65,10574,0.032215,0.0012752,0.039584,0.159726,0,18548390.6369338,8512714.22935753,5.12451260833333
Artemia_tibetana,brine shrimp,Artemiidae,Anostraca,Branchiopoda,Arthropoda,2,9018,141,14589,0.00535856,0.00114567,0.213801,-0.0619925,0,0,0,32.05
Artemia_salina,brine shrimp,Artemiidae,Anostraca,Branchiopoda,Arthropoda,2,10239,152,17335,0.0059074,0.00103201,0.174699,0.52476,0,15862258.4133176,6039055.69633568,31.6343283809524
Artemia_sinica,brine shrimp,Artemiidae,Anostraca,Branchiopoda,Arthropoda,2,8865,143,13527,0.00492781,0.00108834,0.220858,-0.0648536,0,0,0,35.026412
Artemia_franciscana,brine shrimp,Artemiidae,Anostraca,Branchiopoda,Arthropoda,10,8256,74,38951,0.01072,0.00132105,0.123232,0.435482,1,11372488.481114,4662503.97711813,19.11626
Necora_puber,velvet crab,Carcinidae,Decapoda,Malacostraca,Arthropoda,8,9233,168,34965,0.00591197,0.000522356,0.0883556,-0.0107796,0,4416242.41601824,453829.216082512,53.3852439969407
Carcinus_aestuarii,European green crab,Carcinidae,Decapoda,Malacostraca,Arthropoda,2,5064,192,14927,0.00871331,0.0011467,0.131604,-0.140233,0,10770703.7269961,2456076.94880781,39.4224012627119
Liocarcinus_depurator,harbour crab,Carcinidae,Decapoda,Malacostraca,Arthropoda,2,5252,186,23379,0.0148552,0.00126285,0.0850111,-0.0504474,0,7269774.49208259,567737.284469484,54.738339159368
Armadillidium_vulgare,pill woodlouse,Armadillidiidae,Isopoda,Malacostraca,Arthropoda,10,10745,108,119157,0.0187064,0.00193442,0.103409,0.247406,0,19668742.7082154,878551.137131015,50.7398641616533
Armadillidium_nasatum,pill woodlouse,Armadillidiidae,Isopoda,Malacostraca,Arthropoda,2,5515,193,33749,0.0185015,0.00233782,0.126358,-0.0534897,0,15895001.6737585,544299.637760375,50.9896691552215
Culex_pipiens,common house mosquito,Culicidae,Diptera,Insecta,Arthropoda,10,3290,111,84967,0.0412972,0.00112016,0.0271243,0.418858,0,18727447.1131568,3121366.14704894,38.5432367285563
Culex_torrentium,torrent mosquito,Culicidae,Diptera,Insecta,Arthropoda,2,10630,126,34825,0.0163186,0.0012241,0.0750124,-0.0185666,0,1884354.71261585,264341.511513314,52.0308795761905
Culex_hortensis,garden mosquito,Culicidae,Diptera,Insecta,Arthropoda,2,13133,90,58034,0.0327737,0.00172608,0.0526667,0.000231031,0,3967011.59096697,595549.346388825,34.3377003819095
Camponotus_ligniperdus,carpenter ant,Formicidae,Hymenoptera,Insecta,Arthropoda,4,5333,173,4462,0.00164517,0.000411326,0.250021,-0.2279,0,2110292.07949836,744254.362893909,55.7438202531915
Camponotus_aethiops,carpenter ant,Formicidae,Hymenoptera,Insecta,Arthropoda,2,7064,257,12524,0.00332756,0.000763558,0.229465,-0.258939,0,505854.373823627,252927.186911814,44.54369585
Pheidole_pallidula,big-headed ant,Formicidae,Hymenoptera,Insecta,Arthropoda,4,9121,356,28221,0.00309237,0.000530746,0.171631,0.345536,0,1654028.52569485,331922.424742655,44.056265564
Messor_barbarus,harvest ant,Formicidae,Hymenoptera,Insecta,Arthropoda,10,9393,156,40605,0.00580966,0.000529119,0.0910758,-0.334384,0,4267460.99544555,1367836.23236463,40.4497912490566
Halictus_scabiosae,sweat bee,Halictidae,Hymenoptera,Insecta,Arthropoda,11,3287,99,3779,0.00211062,0.000260425,0.123388,0.0275652,0,2754140.37263147,367194.735735161,48.7748134389049
Melitaea_didyma,spotted fritillary,Nymphalidae,Lepidoptera,Insecta,Arthropoda,2,4181,132,28434,0.0307243,0.00349029,0.1136,-0.0144966,0,8855346.06897235,588576.298617851,47.0928389877224
Melitaea_cinxia,Glanville fritillary,Nymphalidae,Lepidoptera,Insecta,Arthropoda,10,4272,67,43631,0.0342226,0.00320756,0.0937264,0.516966,0,12224785.5848554,812922.085055415,52.8530831782899
Mellicta_athalia,heath fritillary,Nymphalidae,Lepidoptera,Insecta,Arthropoda,2,2843,130,16857,0.0268667,0.00316704,0.11788,0.0603555,0,13864669.2238737,1301616.37079394,47.6508730081967
Mellicta_parthenoides,meadow fritillary,Nymphalidae,Lepidoptera,Insecta,Arthropoda,2,2375,111,7801,0.0164728,0.00240365,0.145917,-0.0506673,0,2359361.71052677,318900.077471845,45.6064932370487
Thymelicus_sylvestris,small skipper,Hesperiidae,Lepidoptera,Insecta,Arthropoda,7,13262,164,171934,0.0227798,0.00148765,0.0653053,0.0931063,0,3044869.19823208,356697.933734901,53.1206885441078
Thymelicus_lineola,Essex skipper,Hesperiidae,Lepidoptera,Insecta,Arthropoda,5,9800,174,127668,0.0316444,0.00157949,0.0499137,0.0625979,0,10477138.5760525,1717649.3974122,56.8942937547322
Reticulitermes_lucifugus,subterranean termite,Rhinotermitidae,Isoptera,Insecta,Arthropoda,2,16378,174,8804,0.00121422,0.000420717,0.346492,0.15464,0,18959.2192580326,9479.6096290163,43.35303
